|                 Tasks                 |Version|Filter|n-shot| Metric |   |Value |   |Stderr|
|---------------------------------------|------:|------|-----:|--------|---|-----:|---|-----:|
|arc_challenge                          |      1|none  |     0|acc     |↑  |0.3771|±  |0.0142|
|                                       |       |none  |     0|acc_norm|↑  |0.4181|±  |0.0144|
|arc_easy                               |      1|none  |     0|acc     |↑  |0.6898|±  |0.0095|
|                                       |       |none  |     0|acc_norm|↑  |0.6473|±  |0.0098|
|boolq                                  |      2|none  |     0|acc     |↑  |0.6893|±  |0.0081|
|hellaswag                              |      1|none  |     0|acc     |↑  |0.5271|±  |0.0050|
|                                       |       |none  |     0|acc_norm|↑  |0.7078|±  |0.0045|
|mmlu                                   |      2|none  |      |acc     |↑  |0.2592|±  |0.0037|
| - humanities                          |      2|none  |      |acc     |↑  |0.2550|±  |0.0063|
|  - formal_logic                       |      1|none  |     0|acc     |↑  |0.1984|±  |0.0357|
|  - high_school_european_history       |      1|none  |     0|acc     |↑  |0.3030|±  |0.0359|
|  - high_school_us_history             |      1|none  |     0|acc     |↑  |0.2549|±  |0.0306|
|  - high_school_world_history          |      1|none  |     0|acc     |↑  |0.2869|±  |0.0294|
|  - international_law                  |      1|none  |     0|acc     |↑  |0.3802|±  |0.0443|
|  - jurisprudence                      |      1|none  |     0|acc     |↑  |0.2870|±  |0.0437|
|  - logical_fallacies                  |      1|none  |     0|acc     |↑  |0.2331|±  |0.0332|
|  - moral_disputes                     |      1|none  |     0|acc     |↑  |0.2486|±  |0.0233|
|  - moral_scenarios                    |      1|none  |     0|acc     |↑  |0.2425|±  |0.0143|
|  - philosophy                         |      1|none  |     0|acc     |↑  |0.2444|±  |0.0244|
|  - prehistory                         |      1|none  |     0|acc     |↑  |0.2994|±  |0.0255|
|  - professional_law                   |      1|none  |     0|acc     |↑  |0.2451|±  |0.0110|
|  - world_religions                    |      1|none  |     0|acc     |↑  |0.2222|±  |0.0319|
| - other                               |      2|none  |      |acc     |↑  |0.2816|±  |0.0081|
|  - business_ethics                    |      1|none  |     0|acc     |↑  |0.2700|±  |0.0446|
|  - clinical_knowledge                 |      1|none  |     0|acc     |↑  |0.2868|±  |0.0278|
|  - college_medicine                   |      1|none  |     0|acc     |↑  |0.2428|±  |0.0327|
|  - global_facts                       |      1|none  |     0|acc     |↑  |0.3100|±  |0.0465|
|  - human_aging                        |      1|none  |     0|acc     |↑  |0.3812|±  |0.0326|
